Land;Bundesland;PLZ;Ort
Österreich;Wien;1010;Wien
Österreich;Wien;1020;Wien
Österreich;Wien;1030;Wien
Österreich;Wien;1040;Wien
Österreich;Wien;1050;Wien
Österreich;Wien;1060;Wien
Österreich;Wien;1070;Wien
Österreich;Wien;1080;Wien
Österreich;Wien;1090;Wien
Österreich;Wien;1100;Wien
Österreich;Wien;1110;Wien
Österreich;Wien;1120;Wien
Österreich;Wien;1130;Wien
Österreich;Wien;1140;Wien
Österreich;Wien;1150;Wien
Österreich;Wien;1160;Wien
Österreich;Wien;1170;Wien
Österreich;Wien;1180;Wien
Österreich;Wien;1190;Wien
Österreich;Wien;1200;Wien
Österreich;Wien;1210;Wien
Österreich;Wien;1220;Wien
Österreich;Wien;1230;Wien
Österreich;Wien;1300;Wien-Flughafen
Österreich;Niederösterreich;2000;Stockerau
Österreich;Niederösterreich;2002;Großmugl
Österreich;Niederösterreich;2003;Leitzersdorf
Österreich;Niederösterreich;2004;Niederhollabrunn
Österreich;Niederösterreich;2011;Sierndorf
Österreich;Niederösterreich;2013;Göllersdorf
Österreich;Niederösterreich;2014;Breitenwaida
Österreich;Niederösterreich;2020;Hollabrunn
Österreich;Niederösterreich;2022;Immendorf
Österreich;Niederösterreich;2023;Nappersdorf
Österreich;Niederösterreich;2024;Mailberg
Österreich;Niederösterreich;2031;Eggendorf im Thale
Österreich;Niederösterreich;2032;Enzersdorf im Thale
Österreich;Niederösterreich;2033;Kammersdorf
Österreich;Niederösterreich;2034;Großharras
Österreich;Niederösterreich;2041;Wullersdorf
Österreich;Niederösterreich;2042;Guntersdorf
Österreich;Niederösterreich;2051;Zellerndorf
Österreich;Niederösterreich;2052;Pernersdorf-Pfaffendorf
Österreich;Niederösterreich;2053;Jetzelsdorf
Österreich;Niederösterreich;2054;Haugsdorf
Österreich;Niederösterreich;2061;Hadres
Österreich;Niederösterreich;2062;Seefeld-Großkadolz
Österreich;Niederösterreich;2063;Zwingendorf
Österreich;Niederösterreich;2064;Wulzeshofen
Österreich;Niederösterreich;2070;Retz
Österreich;Niederösterreich;2073;Schrattenthal
Österreich;Niederösterreich;2074;Unterretzbach
Österreich;Niederösterreich;2081;Niederfladnitz
Österreich;Niederösterreich;2082;Hardegg
Österreich;Niederösterreich;2083;Pleißing
Österreich;Niederösterreich;2084;Weitersfeld
Österreich;Niederösterreich;2091;Langau
Österreich;Niederösterreich;2092;Riegersburg
Österreich;Niederösterreich;2093;Geras
Österreich;Niederösterreich;2094;Zissersdorf
Österreich;Niederösterreich;2095;Drosendorf
Österreich;Niederösterreich;2100;Korneuburg
Österreich;Niederösterreich;2102;Bisamberg
Österreich;Niederösterreich;2103;Langenzersdorf
Österreich;Niederösterreich;2104;Spillern
Österreich;Niederösterreich;2105;Oberrohrbach
Österreich;Niederösterreich;2111;Rückersdorf-Harmannsdorf
Österreich;Niederösterreich;2112;Würnitz
Österreich;Niederösterreich;2113;Karnabrunn
Österreich;Niederösterreich;2114;Großrußbach
Österreich;Niederösterreich;2115;Ernstbrunn
Österreich;Niederösterreich;2116;Niederleis
Österreich;Niederösterreich;2120;Wolkersdorf im Weinviertel
Österreich;Niederösterreich;2122;Ulrichskirchen
Österreich;Niederösterreich;2123;Schleinbach
Österreich;Niederösterreich;2124;Niederkreuzstetten
